runId,workFactor,endpointMode,payloadSize,concurrency,go-stdlibRpsMedian,oracle-jdk-jvmRpsMedian,oracle-jdk-leyden-aotRpsMedian,graalvm-jvmRpsMedian,graalvm-nativeRpsMedian
combined_go_java_graal_20260528,10,generated,7,1,4867.86,3978.52,4831.73,3966.2,3230.81
combined_go_java_graal_20260528,10,generated,7,6,21472.33,16544.71,18353.74,18692.0,18082.89
combined_go_java_graal_20260528,10,generated,7,12,21024.46,20901.05,25995.61,29307.6,27695.32
combined_go_java_graal_20260528,10,generated,7,24,48956.43,43813.35,43268.77,53959.62,47834.53
combined_go_java_graal_20260528,10,generated,7,48,49563.99,54187.83,60238.88,66316.78,53901.57
combined_go_java_graal_20260528,10,generated,7,96,58048.83,72504.43,74997.73,78923.85,83899.16
combined_go_java_graal_20260528,10,generated,7,192,61785.28,97190.01,72389.83,87018.34,93040.14
combined_go_java_graal_20260528,10,generated,128,1,4443.95,4250.15,4703.74,4122.77,3285.67
combined_go_java_graal_20260528,10,generated,128,6,18563.22,20320.47,18742.64,18156.82,19472.81
combined_go_java_graal_20260528,10,generated,128,12,21771.1,28461.3,28683.03,27813.79,27168.24
combined_go_java_graal_20260528,10,generated,128,24,33909.79,46137.68,42966.42,50927.52,44231.28
combined_go_java_graal_20260528,10,generated,128,48,31602.71,70080.9,57867.88,56161.37,61035.91
combined_go_java_graal_20260528,10,generated,128,96,39423.87,74156.25,69650.68,85708.22,74001.57
combined_go_java_graal_20260528,10,generated,128,192,51332.43,76415.12,74887.12,85023.92,79302.2
combined_go_java_graal_20260528,10,generated,2048,1,3164.74,3577.1,2725.09,3326.73,3153.24
combined_go_java_graal_20260528,10,generated,2048,6,5943.9,12773.83,12078.13,16454.04,16882.1
combined_go_java_graal_20260528,10,generated,2048,12,3144.01,21796.06,13528.76,23229.74,24337.51
combined_go_java_graal_20260528,10,generated,2048,24,3975.4,25519.14,19812.14,27865.49,25446.69
combined_go_java_graal_20260528,10,generated,2048,48,9715.43,31452.15,27772.6,45994.45,39429.93
combined_go_java_graal_20260528,10,generated,2048,96,13241.83,38373.56,22502.28,38476.43,45383.99
combined_go_java_graal_20260528,10,generated,2048,192,16217.01,36964.76,34308.34,51837.13,52324.78
combined_go_java_graal_20260528,10,generated,8192,1,1881.05,2035.54,1971.32,2837.83,2656.53
combined_go_java_graal_20260528,10,generated,8192,6,3798.7,8214.24,7943.89,9356.74,10309.11
combined_go_java_graal_20260528,10,generated,8192,12,3790.17,9664.95,10904.42,15128.99,12154.37
combined_go_java_graal_20260528,10,generated,8192,24,4431.24,11144.51,10704.48,16157.93,18090.22
combined_go_java_graal_20260528,10,generated,8192,48,5042.88,12594.97,11638.42,19121.1,16976.09
combined_go_java_graal_20260528,10,generated,8192,96,6050.8,11167.28,13913.82,23302.89,22798.39
combined_go_java_graal_20260528,10,generated,8192,192,6922.48,13427.28,13038.49,23641.71,24675.5
