runId,runtimeVariant,service,workFactor,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max
sequential_full_20260527_204614,go-stdlib,go,10,7,1,1,19800,0,4.000041146s,4949.95,178.3µs,304.421µs,584.53µs,1.898624ms,51.827µs,6.75324ms
sequential_full_20260527_204614,go-stdlib,go,10,7,1,2,22275,0,4.000130852s,5568.57,170.703µs,254.548µs,331.597µs,574.08µs,50.577µs,2.367522ms
sequential_full_20260527_204614,go-stdlib,go,10,7,6,1,98449,0,4.000824961s,24607.18,215.072µs,452.124µs,807.831µs,1.856736ms,38.445µs,4.445446ms
sequential_full_20260527_204614,go-stdlib,go,10,7,6,2,100312,0,4.000463428s,25075.09,211.871µs,434.817µs,786.68µs,1.634625ms,32.918µs,11.844684ms
sequential_full_20260527_204614,go-stdlib,go,10,7,12,1,147999,0,4.001154326s,36989.08,262.944µs,755.515µs,1.322807ms,2.831864ms,37.004µs,14.128917ms
sequential_full_20260527_204614,go-stdlib,go,10,7,12,2,127281,0,4.002092431s,31803.61,282.817µs,915.557µs,1.928151ms,5.541963ms,39.335µs,23.098768ms
sequential_full_20260527_204614,go-stdlib,go,10,7,24,1,176516,0,4.002772152s,44098.44,314.103µs,1.835706ms,3.63324ms,7.733474ms,39.056µs,14.209341ms
sequential_full_20260527_204614,go-stdlib,go,10,7,24,2,202742,0,4.001275158s,50669.35,282.001µs,1.487387ms,2.874351ms,6.620676ms,37.134µs,18.561966ms
sequential_full_20260527_204614,go-stdlib,go,10,7,48,1,185792,0,4.003822799s,46403.65,506.323µs,3.556617ms,6.75795ms,20.737171ms,37.685µs,52.05451ms
sequential_full_20260527_204614,go-stdlib,go,10,7,48,2,299095,0,4.001424513s,74747.13,336.908µs,2.18277ms,3.480723ms,5.471733ms,38.405µs,9.157365ms
sequential_full_20260527_204614,go-stdlib,go,10,7,96,1,310545,0,4.005693594s,77525.90,660.714µs,3.984348ms,6.461662ms,12.295546ms,41.082µs,27.982247ms
sequential_full_20260527_204614,go-stdlib,go,10,7,96,2,289606,0,4.003194151s,72343.73,725.285µs,4.206655ms,6.416421ms,10.046416ms,42.718µs,47.698252ms
sequential_full_20260527_204614,go-stdlib,go,10,7,192,1,328755,0,4.00486963s,82088.81,1.28794ms,7.590298ms,11.718455ms,19.29574ms,44.364µs,36.637203ms
sequential_full_20260527_204614,go-stdlib,go,10,7,192,2,305847,0,4.005841645s,76350.25,1.349573ms,8.345868ms,12.771966ms,20.18888ms,44.546µs,39.156017ms
sequential_full_20260527_204614,go-stdlib,go,10,128,1,1,18837,0,4.000270853s,4708.93,190.672µs,309.095µs,489.415µs,1.539097ms,59.425µs,17.061754ms
sequential_full_20260527_204614,go-stdlib,go,10,128,1,2,18257,0,4.00024912s,4563.97,195.723µs,345.623µs,644.026µs,1.720879ms,42.436µs,3.681811ms
sequential_full_20260527_204614,go-stdlib,go,10,128,6,1,93945,0,4.000566626s,23482.92,220.715µs,501.789µs,861.073µs,1.741421ms,40.554µs,10.898545ms
sequential_full_20260527_204614,go-stdlib,go,10,128,6,2,78467,0,4.000746634s,19613.09,247.444µs,659.303µs,1.329729ms,3.614884ms,49.986µs,9.289385ms
sequential_full_20260527_204614,go-stdlib,go,10,128,12,1,145517,0,4.001354825s,36366.93,268.044µs,766.427µs,1.20736ms,2.486953ms,42.995µs,5.393592ms
sequential_full_20260527_204614,go-stdlib,go,10,128,12,2,145413,0,4.001589604s,36338.81,267.033µs,763.498µs,1.222045ms,2.332255ms,41.043µs,7.52794ms
sequential_full_20260527_204614,go-stdlib,go,10,128,24,1,95596,0,4.001474378s,23890.19,493.956µs,3.440642ms,8.235363ms,25.433043ms,44.638µs,76.802691ms
sequential_full_20260527_204614,go-stdlib,go,10,128,24,2,207529,0,4.00182633s,51858.57,304.477µs,1.381749ms,2.116704ms,4.304599ms,43.654µs,9.975859ms
sequential_full_20260527_204614,go-stdlib,go,10,128,48,1,221038,0,4.001461321s,55239.32,543.645µs,2.561215ms,3.733892ms,6.398671ms,43.561µs,9.49006ms
