runId,runtimeVariant,service,workFactor,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,1,1,20369,0,4.000241489s,5091.94,186.403µs,263.769µs,319.716µs,557.375µs,109.791µs,4.891248ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,1,2,21767,0,4.00022748s,5441.44,175.988µs,238.497µs,301.679µs,618.386µs,107.244µs,4.339001ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,6,1,86928,0,4.000645933s,21728.49,232.396µs,520.937µs,1.179019ms,3.196313ms,46.758µs,6.838505ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,6,2,110262,0,4.000779952s,27560.13,201.348µs,340.418µs,645.504µs,1.164579ms,52.647µs,4.312732ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,12,1,170211,0,4.001591648s,42535.82,244.782µs,573.696µs,1.04543ms,1.672908ms,40.456µs,4.62847ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,12,2,137289,0,4.001507639s,34309.32,278.26µs,789.546µs,1.782878ms,4.625464ms,35.276µs,18.400758ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,24,1,268579,0,4.002462464s,67103.44,291.431µs,919.168µs,1.494513ms,2.69433ms,36.76µs,7.527573ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,24,2,270432,0,4.002092245s,67572.66,288.51µs,921.189µs,1.467144ms,2.582654ms,34.25µs,5.875049ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,48,1,401126,0,4.002591377s,100216.58,329.478µs,1.526101ms,2.217197ms,3.80387ms,34.741µs,7.604862ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,48,2,392210,0,4.002127148s,98000.38,340.906µs,1.535086ms,2.223016ms,4.08863ms,32.248µs,10.18839ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,96,1,480527,0,4.002609425s,120053.43,532.064µs,2.551778ms,3.870259ms,5.861757ms,37.717µs,11.208791ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,96,2,388660,0,4.004245255s,97061.99,638.456µs,3.26738ms,5.781196ms,8.745104ms,35.28µs,22.067721ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,192,1,439835,0,4.003373815s,109866.08,1.152796ms,5.581207ms,8.702171ms,13.681862ms,36.729µs,38.162933ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,7,192,2,425911,0,4.003211516s,106392.33,1.177947ms,5.674413ms,9.420565ms,16.660778ms,39.878µs,35.047867ms
sequential_full_20260527_204614,oracle-jdk-jvm,helidon,10,128,1,1,22077,0,4.000158747s,5519.03,175.665µs,227.291µs,278.826µs,479.786µs,107.496µs,4.666758ms
