runId,runtimeVariant,service,workFactor,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,1,1,22459,0,4.000095166s,5614.62,173.65µs,226.262µs,279.773µs,495.414µs,104.24µs,1.611377ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,1,2,22607,0,4.000044704s,5651.69,172.056µs,224.99µs,276.841µs,464.479µs,77.821µs,1.70387ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,6,1,108068,0,4.000686015s,27012.37,205.165µs,356.274µs,630.974µs,1.11431ms,46.851µs,2.43601ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,6,2,89407,0,4.000327671s,22349.92,230.721µs,498.297µs,1.043239ms,2.501667ms,49.064µs,5.416987ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,12,1,170292,0,4.001107166s,42561.22,246.273µs,556.711µs,995.568µs,1.73483ms,40.99µs,4.156788ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,12,2,159327,0,4.000938196s,39822.41,258.408µs,621.949µs,1.103097ms,2.165263ms,42.91µs,15.488977ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,24,1,233044,0,4.001625152s,58237.34,315.878µs,1.108264ms,2.057401ms,4.477269ms,35.681µs,22.275862ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,24,2,229236,0,4.0014004s,57288.94,315.053µs,1.153754ms,2.181812ms,4.896245ms,37.328µs,18.381301ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,48,1,399377,0,4.002579688s,99779.90,326.935µs,1.532343ms,2.361623ms,4.352817ms,31.874µs,8.620334ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,48,2,354567,0,4.003259805s,88569.57,368.178µs,1.679487ms,2.699948ms,5.227389ms,35.865µs,12.236477ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,96,1,410865,0,4.002377429s,102655.24,600.943µs,3.119384ms,4.921429ms,7.648684ms,35.263µs,11.41196ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,96,2,488825,0,4.00254901s,122128.42,526.334µs,2.542828ms,3.824911ms,6.010155ms,37.763µs,10.878502ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,192,1,512303,0,4.003551179s,127962.15,978.848µs,4.705663ms,6.995915ms,11.199954ms,36.698µs,19.076117ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,7,192,2,518117,0,4.003092763s,129429.18,974.508µs,4.658987ms,7.072103ms,10.65ms,38.189µs,22.548289ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,128,1,1,21513,0,4.000185878s,5378.00,176.002µs,250.391µs,348.145µs,824.906µs,65.117µs,2.745413ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,128,1,2,15972,0,4.000133123s,3992.87,225.013µs,403.53µs,875.461µs,2.253866ms,44.79µs,6.368295ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,128,6,1,96328,0,4.000673309s,24077.95,219.208µs,422.626µs,835.504µs,2.359531ms,51.248µs,6.535339ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,128,6,2,103893,0,4.000809132s,25968.00,210.269µs,373.148µs,670.968µs,1.552292ms,56.438µs,6.518782ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,128,12,1,161096,0,4.000934742s,40264.59,261.306µs,589.757µs,1.021539ms,1.783964ms,44.863µs,6.14284ms
sequential_full_20260527_204614,oracle-jdk-leyden-aot,helidon,10,128,12,2,163311,0,4.00128499s,40814.64,259.124µs,574.021µs,967.706µs,1.775404ms,45.377µs,6.278391ms
