runtimeVariant,service,workFactor,payloadSize,concurrency,runs,totalFailures,avgRequestsPerSecond,minRequestsPerSecond,maxRequestsPerSecond,stdevRequestsPerSecond,avgP50Nanos,avgP95Nanos,avgP99Nanos,avgP999Nanos
go-stdlib,go,10,7,1,2,0,5259.26,4949.95,5568.57,437.43,174502,279484,458064,1236352
oracle-jdk-jvm,helidon,10,7,1,2,0,5266.69,5091.94,5441.44,247.13,181196,251133,310698,587880
oracle-jdk-leyden-aot,helidon,10,7,1,2,0,5633.15,5614.62,5651.69,26.21,172853,225626,278307,479946
go-stdlib,go,10,7,6,2,0,24841.14,24607.18,25075.09,330.86,213472,443470,797256,1745680
oracle-jdk-jvm,helidon,10,7,6,2,0,24644.31,21728.49,27560.13,4123.59,216872,430678,912262,2180446
oracle-jdk-leyden-aot,helidon,10,7,6,2,0,24681.14,22349.92,27012.37,3296.85,217943,427286,837106,1807988
go-stdlib,go,10,7,12,2,0,34396.35,31803.61,36989.08,3666.68,272880,835536,1625479,4186914
oracle-jdk-jvm,helidon,10,7,12,2,0,38422.57,34309.32,42535.82,5817.01,261521,681621,1414154,3149186
oracle-jdk-leyden-aot,helidon,10,7,12,2,0,41191.82,39822.41,42561.22,1936.63,252340,589330,1049332,1950046
go-stdlib,go,10,7,24,2,0,47383.90,44098.44,50669.35,4646.34,298052,1661546,3253796,7177075
oracle-jdk-jvm,helidon,10,7,24,2,0,67338.05,67103.44,67572.66,331.79,289970,920178,1480828,2638492
oracle-jdk-leyden-aot,helidon,10,7,24,2,0,57763.14,57288.94,58237.34,670.62,315466,1131009,2119606,4686757
go-stdlib,go,10,7,48,2,0,60575.39,46403.65,74747.13,20041.87,421616,2869694,5119336,13104452
oracle-jdk-jvm,helidon,10,7,48,2,0,99108.48,98000.38,100216.58,1567.09,335192,1530594,2220106,3946250
oracle-jdk-leyden-aot,helidon,10,7,48,2,0,94174.74,88569.57,99779.90,7926.90,347556,1605915,2530786,4790103
go-stdlib,go,10,7,96,2,0,74934.82,72343.73,77525.90,3664.35,693000,4095502,6439042,11170981
oracle-jdk-jvm,helidon,10,7,96,2,0,108557.71,97061.99,120053.43,16257.40,585260,2909579,4825728,7303430
oracle-jdk-leyden-aot,helidon,10,7,96,2,0,112391.83,102655.24,122128.42,13769.62,563638,2831106,4373170,6829420
go-stdlib,go,10,7,192,2,0,79219.53,76350.25,82088.81,4057.77,1318756,7968082,12245210,19742310
oracle-jdk-jvm,helidon,10,7,192,2,0,108129.21,106392.33,109866.08,2456.31,1165372,5627810,9061368,15171320
oracle-jdk-leyden-aot,helidon,10,7,192,2,0,128695.66,127962.15,129429.18,1037.35,976678,4682325,7034009,10924977
go-stdlib,go,10,128,1,2,0,4636.45,4563.97,4708.93,102.50,193198,327359,566720,1629988
oracle-jdk-jvm,helidon,10,128,1,2,0,5543.36,5519.03,5567.69,34.41,175031,227389,278481,457500
oracle-jdk-leyden-aot,helidon,10,128,1,2,0,4685.43,3992.87,5378.00,979.43,200508,326960,611803,1539386
go-stdlib,go,10,128,6,2,0,21548.00,19613.09,23482.92,2736.38,234080,580546,1095401,2678152
oracle-jdk-jvm,helidon,10,128,6,2,0,26553.94,26334.26,26773.62,310.67,209346,357254,612308,1183431
oracle-jdk-leyden-aot,helidon,10,128,6,2,0,25022.97,24077.95,25968.00,1336.47,214738,397887,753236,1955912
go-stdlib,go,10,128,12,2,0,36352.87,36338.81,36366.93,19.88,267538,764962,1214702,2409604
oracle-jdk-jvm,helidon,10,128,12,2,0,40078.04,39276.39,40879.70,1133.71,260802,591691,1061891,2346136
oracle-jdk-leyden-aot,helidon,10,128,12,2,0,40539.61,40264.59,40814.64,388.94,260214,581889,994622,1779684
go-stdlib,go,10,128,24,2,0,37874.38,23890.19,51858.57,19776.63,399216,2411196,5176034,14868821
oracle-jdk-jvm,helidon,10,128,24,2,0,58695.14,53929.65,63460.63,6739.42,325120,1085075,1936537,4246803
oracle-jdk-leyden-aot,helidon,10,128,24,2,0,64074.12,64016.86,64131.38,80.98,309212,942003,1526473,2738024
go-stdlib,go,10,128,48,2,0,54469.24,53699.17,55239.32,1089.05,549306,2618453,3827557,6467390
oracle-jdk-jvm,helidon,10,128,48,2,0,85320.35,77641.53,92999.16,10859.48,397804,1741072,2764068,4999162
oracle-jdk-leyden-aot,helidon,10,128,48,2,0,78253.00,66181.90,90324.10,17071.11,433579,1984206,3178689,6015044
go-stdlib,go,10,128,96,2,0,66891.71,66036.47,67746.96,1209.50,746605,4766256,6980026,10327516
oracle-jdk-jvm,helidon,10,128,96,2,0,102420.96,91583.70,113258.21,15326.19,613668,3056942,4962964,8310162
oracle-jdk-leyden-aot,helidon,10,128,96,2,0,98597.26,91906.36,105288.15,9462.35,626767,3202979,5021534,7881032
go-stdlib,go,10,128,192,2,0,62032.61,57676.34,66388.89,6160.70,1502995,10673506,16204885,23515768
oracle-jdk-jvm,helidon,10,128,192,2,0,106659.85,102663.88,110655.81,5651.15,1130484,5794391,8818676,13754444
oracle-jdk-leyden-aot,helidon,10,128,192,2,0,119545.23,117889.51,121200.94,2341.53,1034194,5028624,7546214,11277250
go-stdlib,go,10,2048,1,2,0,3908.26,3873.88,3942.64,48.62,239052,381424,594049,847787
oracle-jdk-jvm,helidon,10,2048,1,2,0,22.38,22.34,22.41,0.05,44017186,48043112,48157940,48157940
oracle-jdk-leyden-aot,helidon,10,2048,1,2,0,22.41,22.34,22.48,0.10,44021069,48023378,48134583,48134583
go-stdlib,go,10,2048,6,2,0,11351.81,11274.58,11429.03,109.21,509959,912986,1276758,2765650
oracle-jdk-jvm,helidon,10,2048,6,2,0,133.99,133.93,134.05,0.08,44033945,48030110,48414894,49061974
oracle-jdk-leyden-aot,helidon,10,2048,6,2,0,134.34,133.92,134.76,0.59,44028316,47999341,48526604,48723858
go-stdlib,go,10,2048,12,2,0,12715.06,12673.98,12756.14,58.10,781746,2104708,3101952,5536590
oracle-jdk-jvm,helidon,10,2048,12,2,0,266.14,266.10,266.18,0.06,44058194,48123063,48678414,50194325
oracle-jdk-leyden-aot,helidon,10,2048,12,2,0,266.22,264.85,267.58,1.93,44087569,48144889,48403812,48556136
go-stdlib,go,10,2048,24,2,0,10901.69,10450.78,11352.61,637.69,1676334,6009360,9056955,13930724
oracle-jdk-jvm,helidon,10,2048,24,2,0,534.32,532.63,536.00,2.38,44042472,48071280,48591944,51987032
oracle-jdk-leyden-aot,helidon,10,2048,24,2,0,537.65,535.67,539.63,2.80,44048304,47979056,48157352,48468350
go-stdlib,go,10,2048,48,2,0,14640.79,13813.86,15467.72,1169.46,1746071,9967844,14606774,21580899
oracle-jdk-jvm,helidon,10,2048,48,2,0,1069.64,1069.55,1069.74,0.13,44040087,48076731,48316866,50245016
oracle-jdk-leyden-aot,helidon,10,2048,48,2,0,1064.43,1059.65,1069.20,6.75,44079587,48194204,48875666,49918576
go-stdlib,go,10,2048,96,2,0,21832.66,21202.54,22462.78,891.12,1227189,15192104,22786657,33451888
oracle-jdk-jvm,helidon,10,2048,96,2,0,2128.81,2119.61,2138.00,13.00,44076979,48106260,48315106,49143770
oracle-jdk-leyden-aot,helidon,10,2048,96,2,0,2136.61,2134.38,2138.85,3.16,44064268,48165065,48553388,50392895
go-stdlib,go,10,2048,192,2,0,20104.75,19159.62,21049.88,1336.62,2585992,35413055,56098546,88402208
oracle-jdk-jvm,helidon,10,2048,192,2,0,4221.50,4217.84,4225.16,5.18,44160316,48365000,49318584,51867064
oracle-jdk-leyden-aot,helidon,10,2048,192,2,0,4230.56,4201.97,4259.14,40.43,44134679,48295284,49602734,52061641
