runId,workFactor,endpointMode,payloadSize,concurrency,graalvm-jvmRpsMedian,graalvm-nativeRpsMedian
sequential_generated_graal_20260528_1218,10,generated,7,1,3966.20,3230.81
sequential_generated_graal_20260528_1218,10,generated,7,6,18692.00,18082.89
sequential_generated_graal_20260528_1218,10,generated,7,12,29307.60,27695.32
sequential_generated_graal_20260528_1218,10,generated,7,24,53959.62,47834.53
sequential_generated_graal_20260528_1218,10,generated,7,48,66316.78,53901.57
sequential_generated_graal_20260528_1218,10,generated,7,96,78923.85,83899.16
sequential_generated_graal_20260528_1218,10,generated,7,192,87018.34,93040.14
sequential_generated_graal_20260528_1218,10,generated,128,1,4122.77,3285.67
sequential_generated_graal_20260528_1218,10,generated,128,6,18156.82,19472.81
sequential_generated_graal_20260528_1218,10,generated,128,12,27813.79,27168.24
sequential_generated_graal_20260528_1218,10,generated,128,24,50927.52,44231.28
sequential_generated_graal_20260528_1218,10,generated,128,48,56161.37,61035.91
sequential_generated_graal_20260528_1218,10,generated,128,96,85708.22,74001.57
sequential_generated_graal_20260528_1218,10,generated,128,192,85023.92,79302.20
sequential_generated_graal_20260528_1218,10,generated,2048,1,3326.73,3153.24
sequential_generated_graal_20260528_1218,10,generated,2048,6,16454.04,16882.10
sequential_generated_graal_20260528_1218,10,generated,2048,12,23229.74,24337.51
sequential_generated_graal_20260528_1218,10,generated,2048,24,27865.49,25446.69
sequential_generated_graal_20260528_1218,10,generated,2048,48,45994.45,39429.93
sequential_generated_graal_20260528_1218,10,generated,2048,96,38476.43,45383.99
sequential_generated_graal_20260528_1218,10,generated,2048,192,51837.13,52324.78
sequential_generated_graal_20260528_1218,10,generated,8192,1,2837.83,2656.53
sequential_generated_graal_20260528_1218,10,generated,8192,6,9356.74,10309.11
sequential_generated_graal_20260528_1218,10,generated,8192,12,15128.99,12154.37
sequential_generated_graal_20260528_1218,10,generated,8192,24,16157.93,18090.22
sequential_generated_graal_20260528_1218,10,generated,8192,48,19121.10,16976.09
sequential_generated_graal_20260528_1218,10,generated,8192,96,23302.89,22798.39
sequential_generated_graal_20260528_1218,10,generated,8192,192,23641.71,24675.50
