runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max,p50Nanos,p95Nanos,p99Nanos,p999Nanos,minNanos,maxNanos
sequential_generated_leyden_feedback_full_20260608_070043,go-stdlib,go,10,generated,7,1,1,23675,0,5.000126757s,4734.88,199.68µs,294.353µs,379.542µs,696.451µs,84.882µs,4.196818ms,199680,294353,379542,696451,84882,4196818
sequential_generated_leyden_feedback_full_20260608_070043,go-stdlib,go,10,generated,7,1,2,21340,0,5.000093481s,4267.92,224.234µs,320.396µs,486.773µs,1.047786ms,71.384µs,3.718506ms,224234,320396,486773,1047786,71384,3718506
sequential_generated_leyden_feedback_full_20260608_070043,go-stdlib,go,10,generated,7,6,1,91823,0,5.001872468s,18357.73,259.732µs,679.45µs,1.517579ms,5.264998ms,41.487µs,17.244947ms,259732,679450,1517579,5264998,41487,17244947
sequential_generated_leyden_feedback_full_20260608_070043,go-stdlib,go,10,generated,7,6,2,92416,0,5.000871221s,18479.98,261.719µs,659.677µs,1.462374ms,5.359558ms,43.213µs,14.44836ms,261719,659677,1462374,5359558,43213,14448360
sequential_generated_leyden_feedback_full_20260608_070043,go-stdlib,go,10,generated,7,12,1,132119,0,5.000899684s,26419.05,328.742µs,1.168089ms,2.781399ms,7.307193ms,40.065µs,29.736875ms,328742,1168089,2781399,7307193,40065,29736875
sequential_generated_leyden_feedback_full_20260608_070043,go-stdlib,go,10,generated,7,12,2,105503,0,5.00076873s,21097.36,374.291µs,1.686754ms,4.038997ms,8.524414ms,37.579µs,21.653563ms,374291,1686754,4038997,8524414,37579,21653563
sequential_generated_leyden_feedback_full_20260608_070043,go-stdlib,go,10,generated,7,24,1,182790,0,5.0015787s,36546.46,416.811µs,2.115197ms,4.256908ms,8.094381ms,37.876µs,20.296481ms,416811,2115197,4256908,8094381,37876,20296481
sequential_generated_leyden_feedback_full_20260608_070043,go-stdlib,go,10,generated,7,24,2,228690,0,5.0014617s,45724.63,324.243µs,1.635061ms,3.159717ms,8.711333ms,39.12µs,37.897094ms,324243,1635061,3159717,8711333,39120,37897094
sequential_generated_leyden_feedback_full_20260608_070043,go-stdlib,go,10,generated,7,48,1,257546,0,5.002377487s,51484.72,528.798µs,3.066738ms,5.262278ms,9.366422ms,41.899µs,19.611836ms,528798,3066738,5262278,9366422,41899,19611836
sequential_generated_leyden_feedback_full_20260608_070043,go-stdlib,go,10,generated,7,48,2,250576,0,5.003782056s,50077.32,531.252µs,3.19062ms,5.55858ms,11.322027ms,40.09µs,26.063953ms,531252,3190620,5558580,11322027,40090,26063953
