runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max,p50Nanos,p95Nanos,p99Nanos,p999Nanos,minNanos,maxNanos
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-jvm,helidon,10,generated,7,1,1,16869,0,5.000244226s,3373.64,259.021µs,506.654µs,1.044845ms,3.60964ms,40.253µs,9.508455ms,259021,506654,1044845,3609640,40253,9508455
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-jvm,helidon,10,generated,7,1,2,21413,0,5.000213446s,4282.42,224.672µs,304.35µs,429.403µs,1.087154ms,117.096µs,2.404119ms,224672,304350,429403,1087154,117096,2404119
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-jvm,helidon,10,generated,7,6,1,84559,0,5.00059486s,16909.79,293.282µs,681.289µs,1.566433ms,5.335043ms,43.122µs,17.344445ms,293282,681289,1566433,5335043,43122,17344445
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-jvm,helidon,10,generated,7,6,2,70057,0,5.000979078s,14008.66,305.138µs,949.087µs,2.579626ms,10.933885ms,36.929µs,63.886028ms,305138,949087,2579626,10933885,36929,63886028
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-jvm,helidon,10,generated,7,12,1,146548,0,5.001255523s,29302.24,340.993µs,903.193µs,1.756598ms,4.181369ms,40.413µs,17.016661ms,340993,903193,1756598,4181369,40413,17016661
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-jvm,helidon,10,generated,7,12,2,119762,0,5.001652688s,23944.49,380.637µs,1.240439ms,2.824285ms,6.060993ms,34.754µs,12.304966ms,380637,1240439,2824285,6060993,34754,12304966
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-jvm,helidon,10,generated,7,24,1,107717,0,5.006655158s,21514.76,592.93µs,3.934627ms,9.516892ms,19.898948ms,36.367µs,44.23203ms,592930,3934627,9516892,19898948,36367,44232030
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-jvm,helidon,10,generated,7,24,2,126573,0,5.001484384s,25307.09,571.633µs,3.00032ms,7.048752ms,18.180877ms,33.29µs,40.839102ms,571633,3000320,7048752,18180877,33290,40839102
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-jvm,helidon,10,generated,7,48,1,250897,0,5.002559103s,50153.73,636.297µs,2.959844ms,5.518307ms,9.676369ms,33.237µs,21.600278ms,636297,2959844,5518307,9676369,33237,21600278
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-jvm,helidon,10,generated,7,48,2,236489,0,5.003476016s,47264.94,658.664µs,3.309052ms,6.177733ms,9.951947ms,31.226µs,19.616625ms,658664,3309052,6177733,9951947,31226,19616625
