runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max,p50Nanos,p95Nanos,p99Nanos,p999Nanos,minNanos,maxNanos
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-leyden-aot,helidon,10,generated,7,1,1,21554,0,5.000252722s,4310.58,205.843µs,349.759µs,674.019µs,1.89081ms,36.029µs,6.664197ms,205843,349759,674019,1890810,36029,6664197
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-leyden-aot,helidon,10,generated,7,1,2,24147,0,5.000189108s,4829.22,197.538µs,273.044µs,332.091µs,736.068µs,92.186µs,3.070687ms,197538,273044,332091,736068,92186,3070687
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-leyden-aot,helidon,10,generated,7,6,1,102948,0,5.000627236s,20587.02,257.353µs,496.23µs,1.019255ms,3.394625ms,48.072µs,16.278756ms,257353,496230,1019255,3394625,48072,16278756
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-leyden-aot,helidon,10,generated,7,6,2,107421,0,5.001015179s,21479.84,244.676µs,473.848µs,997.345µs,3.280103ms,51.193µs,14.954086ms,244676,473848,997345,3280103,51193,14954086
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-leyden-aot,helidon,10,generated,7,12,1,177425,0,5.001285559s,35475.88,290.856µs,692.515µs,1.279324ms,3.598853ms,36.387µs,8.121439ms,290856,692515,1279324,3598853,36387,8121439
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-leyden-aot,helidon,10,generated,7,12,2,166228,0,5.001201938s,33237.61,297.918µs,747.918µs,1.425514ms,4.849583ms,37.706µs,38.966686ms,297918,747918,1425514,4849583,37706,38966686
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-leyden-aot,helidon,10,generated,7,24,1,236924,0,5.00198333s,47366.01,384.74µs,1.38437ms,2.769727ms,6.744265ms,35.185µs,19.864272ms,384740,1384370,2769727,6744265,35185,19864272
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-leyden-aot,helidon,10,generated,7,24,2,262979,0,5.002255338s,52572.09,365.945µs,1.220844ms,2.074614ms,4.708083ms,35.649µs,14.76963ms,365945,1220844,2074614,4708083,35649,14769630
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-leyden-aot,helidon,10,generated,7,48,1,374998,0,5.002111425s,74967.94,458.546µs,1.910969ms,3.490063ms,7.476932ms,36.142µs,22.708748ms,458546,1910969,3490063,7476932,36142,22708748
sequential_generated_leyden_feedback_full_20260608_070043,oracle-jdk-leyden-aot,helidon,10,generated,7,48,2,276023,0,5.001570056s,55187.27,567.696µs,2.768999ms,5.398763ms,9.968873ms,36.89µs,30.059515ms,567696,2768999,5398763,9968873,36890,30059515
