runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max,p50Nanos,p95Nanos,p99Nanos,p999Nanos,minNanos,maxNanos
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,1,1,18645,0,5.000159412s,3728.88,234.766µs,376.091µs,746.77µs,3.867579ms,72.417µs,16.751789ms,234766,376091,746770,3867579,72417,16751789
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,1,2,21142,0,5.000284266s,4228.16,223.026µs,320.338µs,434.207µs,1.060628ms,119.153µs,6.352788ms,223026,320338,434207,1060628,119153,6352788
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,6,1,75980,0,5.000962987s,15193.07,302.592µs,863.866µs,1.928007ms,5.7869ms,43.669µs,30.102995ms,302592,863866,1928007,5786900,43669,30102995
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,6,2,89492,0,5.000575425s,17896.34,280.754µs,670.309µs,1.309384ms,3.365296ms,54.668µs,7.128671ms,280754,670309,1309384,3365296,54668,7128671
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,12,1,88038,0,5.000825886s,17604.69,469.534µs,1.932606ms,4.245638ms,8.845281ms,34.474µs,16.855396ms,469534,1932606,4245638,8845281,34474,16855396
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,12,2,121030,0,5.001775613s,24197.41,401.843µs,1.183815ms,2.068359ms,4.848027ms,44.925µs,13.389509ms,401843,1183815,2068359,4848027,44925,13389509
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,24,1,180132,0,5.00248125s,36008.53,481.489µs,1.826439ms,3.66752ms,8.413478ms,35.288µs,20.655455ms,481489,1826439,3667520,8413478,35288,20655455
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,24,2,258168,0,5.001495345s,51618.16,368.014µs,1.232155ms,2.066401ms,4.322225ms,36.859µs,21.662775ms,368014,1232155,2066401,4322225,36859,21662775
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,48,1,325273,0,5.00293758s,65016.40,529.818µs,2.178675ms,3.737901ms,6.683052ms,37.792µs,17.492958ms,529818,2178675,3737901,6683052,37792,17492958
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,48,2,216877,0,5.001859751s,43359.27,678.594µs,3.800146ms,6.811852ms,11.058486ms,37.06µs,18.195841ms,678594,3800146,6811852,11058486,37060,18195841
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,96,1,307818,0,5.004327002s,61510.37,1.000962ms,5.14243ms,8.821765ms,16.119887ms,38.799µs,29.582545ms,1000962,5142430,8821765,16119887,38799,29582545
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,96,2,417735,0,5.002904594s,83498.49,805.66µs,3.545152ms,5.561861ms,8.922852ms,39.901µs,13.685968ms,805660,3545152,5561861,8922852,39901,13685968
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,192,1,470312,0,5.003958223s,93987.99,1.441418ms,6.082858ms,9.39584ms,15.461671ms,42.049µs,27.203106ms,1441418,6082858,9395840,15461671,42049,27203106
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,7,192,2,502319,0,5.003575187s,100392.02,1.328724ms,5.762032ms,8.696704ms,12.636636ms,41.32µs,36.249356ms,1328724,5762032,8696704,12636636,41320,36249356
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,1,1,23422,0,5.000158205s,4684.25,201.649µs,292.641µs,363.906µs,630.045µs,104.489µs,2.342698ms,201649,292641,363906,630045,104489,2342698
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,1,2,19081,0,5.00018998s,3816.06,222.45µs,442.409µs,1.02366ms,2.893115ms,54.52µs,5.50392ms,222450,442409,1023660,2893115,54520,5503920
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,6,1,98171,0,5.000620522s,19631.76,259.828µs,539.311µs,1.013948ms,2.876917ms,53.524µs,47.358588ms,259828,539311,1013948,2876917,53524,47358588
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,6,2,105063,0,5.000810714s,21009.19,255.128µs,496.528µs,886.912µs,2.056914ms,65.981µs,7.133594ms,255128,496528,886912,2056914,65981,7133594
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,12,1,137471,0,5.001078938s,27488.27,345.986µs,1.029646ms,2.184705ms,4.889743ms,46.056µs,7.978445ms,345986,1029646,2184705,4889743,46056,7978445
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,12,2,147237,0,5.00222028s,29434.33,332.864µs,923.968µs,1.778589ms,4.140834ms,41.024µs,10.499901ms,332864,923968,1778589,4140834,41024,10499901
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,24,1,217464,0,5.001903295s,43476.25,424.241µs,1.501383ms,2.824705ms,5.265145ms,43.144µs,10.159841ms,424241,1501383,2824705,5265145,43144,10159841
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,24,2,244087,0,5.001872817s,48799.12,387.987µs,1.28244ms,2.225252ms,4.621509ms,42.885µs,20.204098ms,387987,1282440,2225252,4621509,42885,20204098
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,48,1,336342,0,5.002098028s,67240.19,521.549µs,2.112649ms,3.397339ms,6.131674ms,41.614µs,13.21092ms,521549,2112649,3397339,6131674,41614,13210920
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,48,2,364808,0,5.002742442s,72921.60,499.237µs,1.929123ms,3.083408ms,5.657657ms,42.28µs,27.035079ms,499237,1929123,3083408,5657657,42280,27035079
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,96,1,417889,0,5.004217432s,83507.36,816.011µs,3.453344ms,5.561756ms,8.750641ms,45.511µs,17.156082ms,816011,3453344,5561756,8750641,45511,17156082
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,96,2,324163,0,5.002118366s,64805.14,1.002402ms,4.786756ms,7.804591ms,13.609096ms,46.003µs,20.938437ms,1002402,4786756,7804591,13609096,46003,20938437
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,192,1,382217,0,5.004060176s,76381.38,1.738074ms,7.666384ms,11.962396ms,17.764311ms,49.109µs,36.832817ms,1738074,7666384,11962396,17764311,49109,36832817
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,128,192,2,382572,0,5.00428718s,76448.85,1.729821ms,7.627543ms,12.142188ms,18.569058ms,48.462µs,38.85711ms,1729821,7627543,12142188,18569058,48462,38857110
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,2048,1,1,17862,0,5.000110512s,3572.32,265.246µs,375.352µs,453.206µs,938.315µs,164.805µs,3.532017ms,265246,375352,453206,938315,164805,3532017
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,2048,1,2,17910,0,5.000167905s,3581.88,261.254µs,381.038µs,485.501µs,1.209159ms,167.102µs,3.550436ms,261254,381038,485501,1209159,167102,3550436
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,2048,6,1,70409,0,5.000717891s,14079.78,361.296µs,736.107µs,1.616164ms,6.81102ms,146.635µs,33.830499ms,361296,736107,1616164,6811020,146635,33830499
sequential_generated_serious_20260528_1010,oracle-jdk-jvm,helidon,10,generated,2048,6,2,57353,0,5.00118842s,11467.87,413.723µs,1.114782ms,2.541017ms,5.955169ms,134.237µs,9.187886ms,413723,1114782,2541017,5955169,134237,9187886
