runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max,p50Nanos,p95Nanos,p99Nanos,p999Nanos,minNanos,maxNanos
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,1,1,23544,0,5.000165547s,4708.64,195.247µs,293.748µs,409.27µs,1.158305ms,105.641µs,13.225377ms,195247,293748,409270,1158305,105641,13225377
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,1,2,24787,0,5.002613684s,4954.81,190.998µs,278.316µs,346.247µs,663.907µs,106.007µs,2.968448ms,190998,278316,346247,663907,106007,2968448
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,6,1,84852,0,5.000650644s,16968.19,288.417µs,731.963µs,1.635702ms,4.145955ms,42µs,8.378004ms,288417,731963,1635702,4145955,42000,8378004
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,6,2,98714,0,5.000887861s,19739.29,260.683µs,559.67µs,1.079145ms,2.975843ms,51.161µs,19.157231ms,260683,559670,1079145,2975843,51161,19157231
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,12,1,144534,0,5.001165906s,28900.06,326.529µs,941.218µs,1.888369ms,6.121382ms,43.174µs,31.365627ms,326529,941218,1888369,6121382,43174,31365627
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,12,2,115495,0,5.001695024s,23091.17,389.244µs,1.322643ms,3.078146ms,6.378307ms,39.753µs,10.583065ms,389244,1322643,3078146,6378307,39753,10583065
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,24,1,247840,0,5.001647643s,49551.67,382.772µs,1.283692ms,2.193802ms,4.522207ms,35.769µs,10.886953ms,382772,1283692,2193802,4522207,35769,10886953
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,24,2,184992,0,5.001693824s,36985.87,453.758µs,1.920387ms,4.025107ms,8.602336ms,36.374µs,28.16116ms,453758,1920387,4025107,8602336,36374,28161160
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,48,1,338992,0,5.00227584s,67767.55,511.588µs,2.143024ms,3.715244ms,6.167658ms,37.187µs,11.577031ms,511588,2143024,3715244,6167658,37187,11577031
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,48,2,263672,0,5.00229531s,52710.20,616.527µs,2.677232ms,5.094071ms,12.431945ms,36.862µs,34.312151ms,616527,2677232,5094071,12431945,36862,34312151
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,96,1,379629,0,5.002849879s,75882.55,908.609µs,3.724485ms,5.955875ms,12.567401ms,39.794µs,43.882798ms,908609,3724485,5955875,12567401,39794,43882798
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,96,2,370815,0,5.003379215s,74112.91,875.612µs,3.938858ms,7.082863ms,14.316293ms,37.967µs,35.95638ms,875612,3938858,7082863,14316293,37967,35956380
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,192,1,348918,0,5.005364948s,69708.80,1.813689ms,8.648929ms,14.080059ms,26.987556ms,39.491µs,40.196765ms,1813689,8648929,14080059,26987556,39491,40196765
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,7,192,2,375811,0,5.00608321s,75070.87,1.733227ms,7.977672ms,12.814818ms,22.574527ms,43.671µs,34.790286ms,1733227,7977672,12814818,22574527,43671,34790286
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,128,1,1,23557,0,5.000270191s,4711.15,200.341µs,291.694µs,363.765µs,720.138µs,85.385µs,2.48394ms,200341,291694,363765,720138,85385,2483940
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,128,1,2,23483,0,5.000275827s,4696.34,200.72µs,291.14µs,373.225µs,737.307µs,113.726µs,1.955196ms,200720,291140,373225,737307,113726,1955196
sequential_generated_serious_20260528_1010,oracle-jdk-leyden-aot,helidon,10,generated,128,6,1,99234,0,5.001125794s,19842.33,259.996µs,525.679µs,1.013453ms,3.559981ms,47.444µs,38.974572ms,259996,525679,1013453,3559981,47444,38974572
