runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max,p50Nanos,p95Nanos,p99Nanos,p999Nanos,minNanos,maxNanos
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,1,1,16460,0,5.00010627s,3291.93,263.953µs,515.527µs,1.159559ms,4.269719ms,48.945µs,14.778833ms,263953,515527,1159559,4269719,48945,14778833
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,1,2,15540,0,5.000436093s,3107.73,247.66µs,743.244µs,1.996946ms,5.528762ms,50.65µs,12.149824ms,247660,743244,1996946,5528762,50650,12149824
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,6,1,61259,0,5.000732754s,12250.00,309.285µs,1.295325ms,4.262812ms,10.825584ms,42.701µs,29.586324ms,309285,1295325,4262812,10825584,42701,29586324
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,6,2,79311,0,5.002369621s,15854.69,289.577µs,832.058µs,2.125017ms,5.261451ms,40.156µs,22.70045ms,289577,832058,2125017,5261451,40156,22700450
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,12,1,103999,0,5.001305393s,20794.37,370.295µs,1.712814ms,4.421827ms,9.567172ms,42.536µs,55.960231ms,370295,1712814,4421827,9567172,42536,55960231
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,12,2,109935,0,5.00096135s,21982.77,360.621µs,1.577506ms,4.26042ms,8.079561ms,40.16µs,18.590298ms,360621,1577506,4260420,8079561,40160,18590298
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,24,1,133868,0,5.001463523s,26765.77,437.975µs,3.478078ms,7.875945ms,13.641347ms,41.047µs,32.53752ms,437975,3478078,7875945,13641347,41047,32537520
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,24,2,133782,0,5.006619377s,26721.02,439.55µs,3.420489ms,7.6937ms,15.107829ms,40.518µs,26.968791ms,439550,3420489,7693700,15107829,40518,26968791
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,48,1,123215,0,5.006137779s,24612.79,829.867µs,7.712331ms,15.151117ms,33.651201ms,42.904µs,56.857231ms,829867,7712331,15151117,33651201,42904,56857231
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,48,2,101711,0,5.003542968s,20327.80,1.005159ms,9.446312ms,19.666476ms,29.842379ms,40.029µs,57.787179ms,1005159,9446312,19666476,29842379,40029,57787179
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,96,1,130574,0,5.003045032s,26098.91,1.702951ms,13.806769ms,23.14155ms,32.348494ms,42.963µs,45.439605ms,1702951,13806769,23141550,32348494,42963,45439605
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,96,2,113730,0,5.008062617s,22709.38,1.908901ms,15.716037ms,26.83179ms,41.860583ms,45.607µs,54.259399ms,1908901,15716037,26831790,41860583,45607,54259399
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,192,1,293988,0,5.003160973s,58760.45,1.839588ms,10.593307ms,15.592002ms,22.341036ms,45.625µs,43.912728ms,1839588,10593307,15592002,22341036,45625,43912728
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,7,192,2,294318,0,5.004238789s,58813.74,1.805352ms,10.591547ms,16.816863ms,32.77598ms,42.99µs,64.79393ms,1805352,10591547,16816863,32775980,42990,64793930
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,1,1,20111,0,5.000158276s,4022.07,234.528µs,339.686µs,580.789µs,1.885855ms,60.66µs,10.32345ms,234528,339686,580789,1885855,60660,10323450
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,1,2,19599,0,5.000235096s,3919.62,224.942µs,417.061µs,863.939µs,2.897089ms,52.72µs,8.561796ms,224942,417061,863939,2897089,52720,8561796
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,6,1,69093,0,5.001926147s,13813.28,303.227µs,1.046344ms,2.913504ms,8.434212ms,42.782µs,20.153537ms,303227,1046344,2913504,8434212,42782,20153537
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,6,2,82981,0,5.000906485s,16593.19,281.591µs,760.173µs,1.582854ms,6.06408ms,54.436µs,18.154675ms,281591,760173,1582854,6064080,54436,18154675
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,12,1,112383,0,5.000783977s,22473.08,365.443µs,1.395968ms,3.562436ms,9.462394ms,45.785µs,27.657257ms,365443,1395968,3562436,9462394,45785,27657257
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,12,2,117474,0,5.002184799s,23484.54,371.061µs,1.327277ms,2.908989ms,5.617103ms,42.19µs,38.037988ms,371061,1327277,2908989,5617103,42190,38037988
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,24,1,136584,0,5.012740809s,27247.37,519.421µs,2.860784ms,5.674019ms,13.790906ms,40.51µs,40.538683ms,519421,2860784,5674019,13790906,40510,40538683
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,24,2,77785,0,5.001038854s,15553.77,726.008µs,5.922019ms,10.973251ms,21.463074ms,47.417µs,38.32977ms,726008,5922019,10973251,21463074,47417,38329770
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,48,1,99767,0,5.007295842s,19924.33,1.236844ms,8.379477ms,15.110912ms,26.02756ms,44.371µs,41.639474ms,1236844,8379477,15110912,26027560,44371,41639474
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,48,2,118299,0,5.00333611s,23644.02,1.117769ms,6.67638ms,11.730171ms,19.702357ms,44.913µs,39.93136ms,1117769,6676380,11730171,19702357,44913,39931360
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,96,1,147331,0,5.005647527s,29432.96,1.708671ms,10.577925ms,18.77032ms,37.248898ms,49.91µs,65.124631ms,1708671,10577925,18770320,37248898,49910,65124631
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,96,2,149388,0,5.006305165s,29839.97,1.707315ms,10.719089ms,17.112758ms,30.256044ms,48.852µs,40.392792ms,1707315,10719089,17112758,30256044,48852,40392792
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,192,1,191457,0,5.002895668s,38269.24,2.503989ms,16.854424ms,28.473119ms,46.81267ms,51.072µs,77.165794ms,2503989,16854424,28473119,46812670,51072,77165794
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,128,192,2,89810,0,5.008117564s,17932.89,6.28878ms,33.894347ms,59.140048ms,93.680186ms,53.236µs,176.067788ms,6288780,33894347,59140048,93680186,53236,176067788
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,1,1,11493,0,5.000529751s,2298.36,343.84µs,859.812µs,2.160095ms,5.249295ms,114.993µs,10.646081ms,343840,859812,2160095,5249295,114993,10646081
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,1,2,12399,0,5.000223133s,2479.69,336.83µs,743.218µs,1.534419ms,4.717799ms,127.381µs,13.919858ms,336830,743218,1534419,4717799,127381,13919858
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,6,1,30814,0,5.001276198s,6161.23,719.888µs,2.481131ms,5.666318ms,16.250766ms,114.097µs,27.665314ms,719888,2481131,5666318,16250766,114097,27665314
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,6,2,33378,0,5.001017233s,6674.24,695.218µs,2.177066ms,4.92815ms,10.833187ms,108.264µs,31.51444ms,695218,2177066,4928150,10833187,108264,31514440
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,12,1,39738,0,5.001509515s,7945.20,1.005225ms,4.358674ms,7.632376ms,15.655864ms,101.843µs,36.230014ms,1005225,4358674,7632376,15655864,101843,36230014
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,12,2,44977,0,5.001253869s,8993.14,996.726µs,3.482115ms,5.688033ms,9.305665ms,117.546µs,23.697978ms,996726,3482115,5688033,9305665,117546,23697978
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,24,1,45720,0,5.002074312s,9140.21,1.608215ms,8.003852ms,12.430431ms,19.535847ms,113.734µs,28.773272ms,1608215,8003852,12430431,19535847,113734,28773272
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,24,2,44796,0,5.005582038s,8949.21,1.618709ms,8.12936ms,13.066935ms,21.914996ms,115.395µs,39.579999ms,1618709,8129360,13066935,21914996,115395,39579999
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,48,1,43635,0,5.025531605s,8682.66,2.905595ms,18.49011ms,28.489798ms,44.306442ms,106.979µs,72.523732ms,2905595,18490110,28489798,44306442,106979,72523732
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,48,2,43938,0,5.003033027s,8782.27,3.12882ms,17.70688ms,28.142393ms,43.298642ms,121.198µs,79.213989ms,3128820,17706880,28142393,43298642,121198,79213989
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,96,1,54788,0,5.026477966s,10899.88,5.120064ms,28.909165ms,43.389322ms,60.878079ms,105.427µs,107.599064ms,5120064,28909165,43389322,60878079,105427,107599064
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,96,2,53568,0,5.009850784s,10692.53,4.941379ms,30.396796ms,48.46085ms,72.904952ms,105.057µs,115.381734ms,4941379,30396796,48460850,72904952,105057,115381734
sequential_generated_serious_20260607_165332,go-stdlib,go,10,generated,2048,192,1,65593,0,5.011149939s,13089.41,7.015593ms,50.948338ms,83.549104ms,129.303629ms,114.119µs,189.795062ms,7015593,50948338,83549104,129303629,114119,189795062
