runId,workFactor,endpointMode,payloadSize,concurrency,go-stdlibRpsMedian,oracle-jdk-jvmRpsMedian,oracle-jdk-leyden-aotRpsMedian
sequential_generated_serious_20260607_165332,10,generated,7,1,3199.83,2722.01,3561.01
sequential_generated_serious_20260607_165332,10,generated,7,6,14052.35,12131.32,13986.43
sequential_generated_serious_20260607_165332,10,generated,7,12,21388.57,20561.21,20958.14
sequential_generated_serious_20260607_165332,10,generated,7,24,26743.40,30499.48,29491.96
sequential_generated_serious_20260607_165332,10,generated,7,48,22470.29,41957.41,24132.50
sequential_generated_serious_20260607_165332,10,generated,7,96,24404.15,48819.32,26326.24
sequential_generated_serious_20260607_165332,10,generated,7,192,58787.10,63611.95,33204.02
sequential_generated_serious_20260607_165332,10,generated,128,1,3970.85,3249.97,3335.98
sequential_generated_serious_20260607_165332,10,generated,128,6,15203.24,14566.06,16293.60
sequential_generated_serious_20260607_165332,10,generated,128,12,22978.81,19848.08,16955.27
sequential_generated_serious_20260607_165332,10,generated,128,24,21400.57,19391.12,40889.13
sequential_generated_serious_20260607_165332,10,generated,128,48,21784.18,44548.56,50346.33
sequential_generated_serious_20260607_165332,10,generated,128,96,29636.47,54741.19,49484.88
sequential_generated_serious_20260607_165332,10,generated,128,192,28101.06,65032.10,72721.54
sequential_generated_serious_20260607_165332,10,generated,2048,1,2389.03,2501.23,2933.79
sequential_generated_serious_20260607_165332,10,generated,2048,6,6417.73,12688.92,10674.01
sequential_generated_serious_20260607_165332,10,generated,2048,12,8469.17,12982.31,16720.30
sequential_generated_serious_20260607_165332,10,generated,2048,24,9044.71,19541.51,22883.16
sequential_generated_serious_20260607_165332,10,generated,2048,48,8732.47,18125.76,28197.69
sequential_generated_serious_20260607_165332,10,generated,2048,96,10796.20,22795.90,28724.65
sequential_generated_serious_20260607_165332,10,generated,2048,192,12822.49,28209.82,28862.38
sequential_generated_serious_20260607_165332,10,generated,8192,1,1112.13,1618.87,1613.96
sequential_generated_serious_20260607_165332,10,generated,8192,6,3556.90,6427.65,7292.15
sequential_generated_serious_20260607_165332,10,generated,8192,12,3534.28,7947.68,8458.34
sequential_generated_serious_20260607_165332,10,generated,8192,24,3404.43,10225.45,8772.74
sequential_generated_serious_20260607_165332,10,generated,8192,48,4335.75,11129.42,10217.01
sequential_generated_serious_20260607_165332,10,generated,8192,96,4607.95,9020.22,10435.45
sequential_generated_serious_20260607_165332,10,generated,8192,192,4546.05,10397.29,12874.00
